BCI-AV#,Blissymbol,English,Derivation - explanation,POS,Swedish,Derivation - explanation svenska ,Norwegian,Derivation - explanation Norwegian ,Finnish,Hungarian,German,Dutch,Afrikaans,Russian,Icelandic,Lithuanian,Latvian,Polish,French,Spanish,Portugese,Italian,Danish,WinBliss,
23602,,"palmtop,PDA",(tablet + little),YELLOW,handdator,(tablet + little),"PDA, håndholdt PC",,kämmenmikro,"palmtop, tenyérszámítógép, zsebszámítógép",Palmtop (Minicomputer in der Gröβe einer Handfläche),computer (handcomputer),hand rekenaar,КПК,lófatölva,,plaukstdators,"palmtop, pda, (mały komputer ręczny)","ordinateur de poche, PDA","ordenador de bolsillo, PDA",,,,H#3#1#0#0#8#11#9##0#4*&G#1#1#0#2#12#13#13##0#4*&H#1#1#0#10#13#41#14##0#4*&W#1#2#0#11#10#42#11##0#4*&V#9#3#0#14#8#39#9##0#4*&W#2#1#0#20#12#47#13##0#4*&W#2#1#0#20#16#47#17##0#4*&W#2#2#0#22#12#49#13##0#4*%£,
23603,,"pancake,crepe,tortilla","(dish + horizontal line [low, in the dish]) - Character (superimposed)",YELLOW,"pannkaka, crêpe, tortilla","(dish + horizontal line [low, in the dish])  - Character (superimposed)","pannekake, tortilla",,"pannukakku, tortilla","palacsinta, tortilla, lapos tészta","Pfannkuchen, Crêpe, Tortilla","pannenkoek, tortilla","pannekoek, crêpe, tortilla","блин, тортила",pönnukaka,,"pankūka, kukurūzas plācenis",naleśnik,"crêpe, tortilla","tortilla, crepe",panquecas,crepes,pandekager,W#6#1#0#0#12#17#13##0#4*&W#4#1#0#4#14#33#15##0#4*&W#4#1#0#4#16#21#17##0#4*&W#6#2#0#12#12#29#13##0#4*%£,
23604,,"paper_money,bill",(money + paper),YELLOW,sedel,(money + paper),pengeseddel,,"paperiraha, lasku","papírpénz, bankjegy","Banknote, Geldschein","rekening, nota (rekening)",geld papiernoot,банкнота,bréfpeningar,,"papīra nauda, banknote","banknot, czek",billet de banque,"billete, papel moneda","(banco) nota, conta, moeda",banconota,"(bank) regning, pengeseddel, valuta",O#2#1#0#0#8#29#9##0#4*&W#2#1#0#0#16#29#17##0#4*&H#2#1#0#6#8#17#9##0#4*&H#2#1#0#6#12#17#13##0#4*&W#4#2#0#8#8#19#9##0#4*%£,
23605,,passenger,(person + to ride),YELLOW,passagerare,(person + to ride),passasjer,,matkustaja,utas (fn.),"Fahrgast, Passagier, Passagierin",passagier,passasier,пассажир,farþegi,,pasažieris,pasażer,"passager, voyageur",pasajero,passageiro,passeggiero,passager,S#1#1#0#0#8#27#9##0#4*&F#1#2#0#6#14#23#15##0#4*&W#2#1#0#6#12#23#13##0#4*&W#2#2#0#6#8#23#9##0#4*&W#2#2#0#10#12#27#13##0#4*%£,
23606,,"educationalist,educationist_(academic)","(person + education,didactics,pedagogy)",BLUE,"pedagog (forskare), didaktiker","(person + education,didactics,pedagogy)","pedagog (akademiker), didaktiker",,"pedagogi, opettaja",oktatáskutató,"Erziehungswissenschaftler(in), Pädagoge, Pädagogin ",pedagoog,"pedagoog (akademikus), opvoedkundige",научно-педагогический работник,uppeldisfræðingur,,"pedagogs, pedagoģijas speciālists, akadēmiķis",pedagog (naukowiec),pédagogue (scientifique),pedagogo (académico),,,,S#1#1#0#0#8#21#9##0#4*&J#1#1#0#6#8#25#9##0#4*&V#1#1#0#6#8#25#9##0#4*&W#4#1#0#6#16#25#17##0#4*&J#1#3#0#16#12#45#13##0#4*&F#1#3#0#18#8#47#9##0#4*&R#2#1#0#18#8#47#9##0#4*&J#1#1#0#26#8#55#9##0#4*&O#1#3#0#26#12#55#13##0#4*%£,
23607,,"education,didactics,pedagogy",(body of learning + to exchange + knowledge),YELLOW,"pedagogik, didaktik",(body of learning + to exchange + knowledge),"pedagogikk, didaktikk",,"kasvatusoppi, pedagogiikka","pedagógia, didaktika, oktatás-nevelés",Pädagogik,pedagogie,"pedagogie, didatiek, onderwys","педагогика, дидактика",menntun,,"izglītība, didaktika, pedagoģija",pedagogika (nauka),pédagogie,pedagogía,,,,J#1#1#0#0#8#25#9##0#4*&V#1#1#0#0#8#25#9##0#4*&W#4#1#0#0#16#25#17##0#4*&J#1#3#0#10#12#45#13##0#4*&F#1#3#0#12#8#47#9##0#4*&R#2#1#0#12#8#47#9##0#4*&J#1#1#0#20#8#55#9##0#4*&O#1#3#0#20#12#55#13##0#4*%£,
23608,,Pegasus,(horse + wings),YELLOW,Pegasus,(horse + wings),Pegasus,,Pegasos,Pegazus,"Pegasus, geflügeltes Pferd (griech. Sage)","Pegasus, vliegend paard",Pegasus,Пегас,Pegasus,,Pegazs,Pegaz (latający koń),pégase,Pegaso,,,,V#2#1#0#0#12#17#13##0#4*&W#4#1#0#0#12#17#13##0#4*&V#2#1#0#4#12#21#13##0#4*&W#6#2#0#8#8#25#9##0#4*&W#5#1#0#12#8#29#9##0#4*&K#2#2#0#16#8#31#9##0#4*&K#2#1#0#20#8#35#9##0#4*%£,
23609,,perform-(to),(performance + action indicator),RED,"uppföra, uppträda",(performance + action indicator),"framføre, opptre",,"näytellä, esiintyä","előadni, szerepelni, eljátszani","(Konzert) geben, auftreten",optreden,optree (om te),выступать,koma fram(SO),,"izpildīt, izrādīt","przedstawiać, wykonywać, odgrywać",représenter (spectacle),"actuar, realizar",actuar,eseguire un concerto,(at) optræde,V#2#1#0#0#12#23#13##0#4*&V#5#1#0#1#4#24#5##0#4*&D#1#1#0#6#8#25#9##0#4*&H#2#1#0#16#10#35#11##0#4*&Q#1#1#0#18#12#37#13##0#4*%£,
23610,,"performance,show",(action + showplace),YELLOW,"föreställning, show",(action + showplace),"forestilling, show",,"näytäntö, show, esitys","előadás, show","Spiel, Theaterstück","voorstelling (show), show, optreden (zelfst.nw)",optrede,"выступление, шоу","sýning, framkoma",,"uzvedums, izrāde","pokaz, przedstawienie","représentation, spectacle","actuación, show",mostrar,"rappresentazione, spettacolo","leg, spil, teaterstykke",V#2#1#0#0#12#23#13##0#4*&D#1#1#0#6#8#25#9##0#4*&H#2#1#0#16#10#35#11##0#4*&Q#1#1#0#18#12#37#13##0#4*%£,
23611,,pharmacist,(person + medicine),BLUE,"apotekare, farmaceut",(person + medicine),farmasøyt,,"apteekkari, farmaseutti","gyógyszerész, patikus","Apotheker, Apothekerin",apotheker,apteker,"фармацевт, провизор",lyfsali,,farmaceits,"farmaceuta, aptekarz",pharmacien,farmacéutico,farmacêutico,farmacista,"farmaceut, appoteker",S#1#1#0#0#8#29#9##0#4*&W#8#2#0#6#8#33#9##0#4*&L#2#1#0#12#12#39#13##0#4*&W#2#2#0#14#8#41#9##0#4*&A#1#3#0#18#8#45#9##0#4*&W#4#2#0#19#8#46#9##0#4*%£,
23612,,philosopher,(person + causality),BLUE,filosof,(person + causality),tenker (filosof),,filosofi,filozófus,"Philosoph, Philosophin",filosoof,filosoof,философ,heimsspekingur,,filozofs,filozof,philosophe,filósofo,,,,S#1#1#0#0#8#15#9##0#4*&J#1#1#0#6#8#41#9##0#4*&P#1#2#0#10#8#45#9##0#4*%£,
23613,,philosopher_(academic),(person + philosophy),BLUE,filosof (akademiker),(person + philosophy),filosof (akademiker),,filosofi (akateeminen),filozófuskutató,"Philosoph, Philosophin",filosoof (academisch),folosoof (akademikus),философ (академик),heimsspekingur,,"filozofs, zinātnieks",filozof (naukowiec),philosophe (scientifique),filósofo (académico),,,,S#1#1#0#0#8#21#9##0#4*&J#1#1#0#6#8#25#9##0#4*&V#1#1#0#6#8#25#9##0#4*&W#4#1#0#6#16#25#17##0#4*&J#1#1#0#16#8#45#9##0#4*&P#1#2#0#20#8#49#9##0#4*%£,
23614,,philosophy,(body of learning + causality),YELLOW,filosofi,(body of learning + causality),filosofi,,filosofia,filozófia,Philosophie,filosofie,filosofie,философия,heimsspeki,,filozofija,filozofia (nauka),philosophie,filosofía,,,,J#1#1#0#0#8#25#9##0#4*&V#1#1#0#0#8#25#9##0#4*&W#4#1#0#0#16#25#17##0#4*&J#1#1#0#10#8#45#9##0#4*&P#1#2#0#14#8#49#9##0#4*%£,
23615,,philosophy_(class),(class [contraction] + causality),YELLOW,filosofi (skolämne),(class [contraction] + causality),filosofifag,,filosofia (kouluaine),filozófia (tantárgy),"Weltanschauungsunterricht, Philosophie-Unterricht",filosofieles,filosofie (les),философия (предмет),heimspeki (kennslustund),,filozofijas nodarbība,filozoficzny (kategoria),cours de philosophie,filosofía (clase),,,,J#1#1#0#0#8#27#9##0#4*&O#1#3#0#0#12#27#13##0#4*&J#1#1#0#10#8#45#9##0#4*&P#1#2#0#14#8#49#9##0#4*%£,
23616,,pirate,(sailor + receiving + negative + intensity: sailor + to rob [contraction] ),BLUE,"sjörövare, pirat",(sailor + receiving + negative + intensity: sailor + to rob [contraction] ),"pirat, sjørøver",,"merirosvo, piraatti",kalóz,"Pirat, Piratin",piraat,seerower,пират,sjóræningi,,pirāts,pirat,pirate,pirata,pirata,pirata,pirat,S#1#1#0#0#8#1#9##0#4*&J#1#3#0#6#12#27#13##0#4*&W#4#3#0#6#12#27#13##0#4*&W#2#2#0#10#8#31#9##0#4*&J#1#3#0#16#12#37#13##0#4*&F#1#3#0#18#8#39#9##0#4*&W#2#1#0#26#12#47#13##0#4*&Y#22#1#0#32#10#53#11##0#4*&Y#22#1#0#34#10#55#11##0#4*%£,
23617,,play_(theater),(action + story),YELLOW,skådespel,(action + story),skuespill,,"näytelmä, esitys",játék (színházban),Schauspiel (Theater),"toneelstuk, voorstelling",toneelstuk (teater),спектакль,leikrit,,"luga, izrāde","gra (aktorska, teatralna)",jeu théâtral,obra (teatro),mostrar,"rappresentazione, spettacolo","leg, spil, teaterstykke",V#2#1#0#0#12#25#13##0#4*&M#1#1#0#6#8#31#9##0#4*&H#2#1#0#12#10#37#11##0#4*%£,
23618,,"play,game_(in_combinations)","(activity + feeling: contraction of play,recreation) Used in conjunction with a specifier.",YELLOW,"lek, spel (i kombinationer)","(activity + feeling: contraction of play,recreation)  Used in conjunction with a specifier.",spill (brukes i kombinasjon),,"leikki, peli","játék, játszás (egyéb összefüggésekben)","Spiel, Gesellschaftsspiel (Kombinationen)","toneelstuk, voorstelling",toneelstuk (in kombinasies),игра (в комбинации),"leikur, spil",,"luga, izrāde, spēle (dažādās nozīmēs)",grać (w symbolu złożonym),jeu (classificateur),juego (en combinaciones),mostrar,"rappresentazione, spettacolo","leg, spil, teaterstykke",V#2#1#0#0#12#29#13##0#4*&B#1#1#0#4#8#33#9##0#4*%£,
23619,,pointing,"(hand [modification, on its side, as if pointing]) - Character (modified) ",YELLOW,pekare,"(hand [modification, on its side, as if pointing]) - Character (modified) ",peker,,osoitin,mutató (fn.),"Pointer, Zeigegerät",aanwijzer,aanwyser,указатель,benda,,"rādāmais kociņš, bultiņa, uguntiņa",wskaźnik,"pointeur, désignation",puntero,,pointer,,W#4#1#0#0#12#37#13##0#4*&W#6#1#0#0#12#37#13##0#4*%£,
23620,,porcupine,"(hedgehog + teeth: combination of hedgehog and rodent) Preferred NEW SYNONYM, replacing 16222",YELLOW,piggsvin,"(hedgehog + teeth: combination of hedgehog and rodent)  Preferred NEW SYNONYM, replacing 16222",hulepinnsvin,,piikkisika,tarajos sül,Stachelschwein,stekelvarken,krimpvark,дикобраз,broddgeltur,,dzeloņcūka,jeżozwierz,porc-épic,puerco espín,porco espinho,porcospino,pindsvin,V#2#1#0#0#12#25#13##0#4*&W#4#1#0#0#12#25#13##0#4*&W#5#1#0#0#10#29#11##0#4*&W#5#1#0#2#10#31#11##0#4*&V#2#1#0#4#12#29#13##0#4*&W#5#1#0#4#10#33#11##0#4*&V#2#3#0#10#12#35#13##0#4*&W#4#1#0#10#12#35#13##0#4*&V#2#3#0#14#12#39#13##0#4*%£,
23621,,porridge,"(pudding,cream + grain,cereal)",YELLOW,"gröt, pudding","(pudding,cream + grain,cereal)",grøt,,puuro,zabkása,"Haferbrei, Haferflockenbrei",havermoutpap,pap,каша,grautur,,biezputra,owsianka,porridge,gachas de avena,papas de aveia,pappa di fiocchi d'avena,gavregrød,W#6#1#0#0#12#17#13##0#4*&J#1#1#0#4#12#33#13##0#4*&W#4#1#0#4#16#21#17##0#4*&W#6#2#0#12#12#29#13##0#4*&K#2#1#0#18#12#47#13##0#4*&K#2#1#0#22#12#51#13##0#4*%£,
23622,,prince,(boy + crown),BLUE,prins,(boy + crown),prins,,prinssi,"herceg, hercegfiú, hercegfi",Prinz,prins,prins,принц,prins,,princis,książę,prince,príncipe,príncipe,principe,prins,H#2#1#0#0#8#27#9##0#4*&V#2#1#0#0#12#27#13##0#4*&O#1#3#0#6#8#31#9##0#4*&R#2#3#0#6#8#31#9##0#4*&R#2#3#0#10#8#35#9##0#4*%£,
23623,,princess,(girl + crown),BLUE,prinsessa,(girl + crown),prinsesse,,prinsessa,"hercegkisasszony, herceglány",Prinzessin,prinses,prinses,принцесса,prinsess,,princese,księżniczka,princesse,princesa,princesa,principessa,prinsesse,H#2#1#0#0#8#49#9##0#4*&V#2#1#0#0#12#49#13##0#4*&W#2#1#0#0#16#23#17##0#4*&O#1#3#0#6#8#31#9##0#4*&R#2#3#0#6#8#31#9##0#4*&R#2#3#0#10#8#35#9##0#4*%£,
23624,,print-(to),(machine + to write + action indicator),RED,skriva ut (från skrivare),(machine + to write + action indicator),"trykke, printe, skrive",,"tulostaa, printata","nyomtatni, printelni",drucken,"afdrukken, uitprinten, printen",druk (om te),распечатывать,prenta (SO),,"drukāt, izdrukāt",drukować,imprimer,imprimir,imprimir,stampare,(at) udskrive,H#3#1#0#0#8#9#9##0#4*&G#1#1#0#2#12#9#13##0#4*&V#5#1#0#3#4#26#5##0#4*&W#8#1#0#10#8#33#9##0#4*%£,
23625,,"Pterosaur,Pterodactyl",(dinosaur + wings),YELLOW,"Pterosaurie, flygödla",(dinosaur + wings),"Pterodactyl, Pterosaur, flygeøgle",,"pteranodon, lentolisko","pteroszaurusz, pterodaktil","Pterosaurier, Flugsaurier, Pterodactylus, Pteranodon (prähist. Flugechse)",Pterosaurus,"Pterosaur, Pterodactyl",птерозавр,flugeðla,,"pterozaurs, pterodaktils",pterodaktyl,ptérodactyle,Pterodáctilo,pterossáurio,,,W#2#1#0#0#12#29#13##0#4*&V#2#1#0#4#12#19#13##0#4*&W#4#1#0#4#12#19#13##0#4*&V#2#1#0#8#12#23#13##0#4*&W#1#3#0#12#8#41#9##0#4*&W#2#2#0#12#8#41#9##0#4*&K#2#2#0#16#8#45#9##0#4*&K#2#1#0#20#8#49#9##0#4*%£,
23626,,queen,(woman + crown),BLUE,drottning,(woman + crown),dronning,,kuningatar,királynő,Königin,koningin,koningin,королева,drottning,,karaliene,królowa,reine,reina,rainha,regina,dronning,U#2#1#0#0#12#25#13##0#4*&W#2#2#0#2#8#27#9##0#4*&O#1#3#0#6#8#31#9##0#4*&R#2#3#0#6#8#31#9##0#4*&R#2#3#0#10#8#35#9##0#4*%£,
23627,,"quill(s),spine(s)",(pictograph) - Character,YELLOW,"taggar, piggar",(pictograph)  - Character,"pigger, tagger",,"piikki, piikit","tüske, tövis, tüsketövis",Stachel,stekels,"penne, stekels","шипы, колючки",broddur,,"putna, dzīvnieka spalva, adata, dzelonis",kolce,piquant,púas espinas,espinhos,spina dorsale,,W#5#1#0#0#10#33#11##0#4*&W#5#1#0#2#10#35#11##0#4*&W#5#1#0#4#10#37#11##0#4*%£,
23628,,railway_track,(track + train),YELLOW,"järnvägsspår, räls",(track + train),jerbanespor,,"junarata, kiskot, rautatie",vonatsín,"Eisenbahnschiene, Schiene","spoorweg, rails, treinrails",spoor lyn,"железная дорога, рельсы",lestarteinar,,dzelzceļa trase,tory kolejowe,voie ferrée,vía del tren,carris de comboios,binari,jernbanespor,W#3#1#0#0#12#19#13##0#4*&W#4#1#0#0#12#19#13##0#4*&W#4#1#0#0#16#19#17##0#4*&W#2#2#0#2#12#21#13##0#4*&W#2#2#0#6#12#25#13##0#4*&T#4#1#0#10#12#27#13##0#4*&G#1#1#0#16#12#17#13##0#4*&W#4#1#0#16#12#17#13##0#4*&G#1#1#0#20#12#21#13##0#4*%£,
23629,,ramp,(pictograph) - Character,YELLOW,ramp,(pictograph)  - Character,rampe,,"ramppi, ajoluiska","rámpa, felhajtó, feljáró",Rampe,helling,"helling, skuunste",пандус,rampur,,"rampa, pandus",rampa,rampe,rampa,rampa,rampa,rampe,W#9#4#0#0#12#29#13##0#4*&W#2#1#0#8#12#37#13##0#4*%£,
23630,,redo-(to),"(to add + action + before,in_front_of,prior_to + action indicator)",RED,göra om,"(to add + action + before,in_front_of,prior_to + action indicator)","gjøre om, endre",,"tehdä uudelleen, remontoida","átalakítani, helyrehozni, újra elvégezni/megcsinálni",wiederherstellen (Computeraktion),"opnieuw doen, herhalen, herstellen",herhaal oordoen (om te),повторить действие,endurgera (SO),,"pārtaisīt, darīt vēlreiz","przerabiać, powtarzać, ponawiać czynność",refaire,rehacer,,rifare,,T#1#1#0#0#8#7#9##0#4*&V#5#1#0#3#4#10#5##0#4*&V#2#1#0#10#12#43#13##0#4*&Q#1#1#0#16#12#49#13##0#4*&W#4#2#0#18#8#51#9##0#4*%£,
23631,,redo_(computer)-(to),(jump + digits_(computer) + action indicator),RED,göra om (dator),(jump + digits_(computer) + action indicator),endre (PC),,toista-painike (tietokone),"visszahozni, újra elvégezni (szgép), redo",wiederherstellen (Computeraktion),"opnieuw doen, herstellen",herhaal oordoen (rekenaar) (om te),повторить (компьютер),endurgerða (tölva),,atsaukt (darbību datorā),"powtarzać, ponawiać, kopiować (komputerowe)","refaire, répéter (informatique)",rehacer (ordenador),,rifare,,J#1#1#0#0#12#31#13##0#4*&V#5#1#0#3#4#34#5##0#4*&R#2#3#0#6#14#37#15##0#4*&H#1#1#0#12#13#43#14##0#4*&W#1#2#0#13#10#44#11##0#4*%£,
23632,,"refrigerator,fridge","(cupboard + cold) Preferred NEW SYNONYM, replacing 16476",YELLOW,kylskåp,"(cupboard + cold)  Preferred NEW SYNONYM, replacing 16476",kjøleskap,,jääkaappi,"hűtő, hűtőszekrény, jégszekrény",Kühlschrank,"koelkast, ijskast","koelkas, yskas",холодильник,ísskápur,,"ledusskapis, saldētava",lodówka,"frigo, frigidaire, réfrigérateur","refrigerador, nevera",frigorífico,frigorifero,"køleskab, fryser, køleskab",M#1#1#0#0#8#21#9##0#4*&Q#1#1#0#2#12#23#13##0#4*&M#1#1#0#4#8#25#9##0#4*&Q#1#1#0#6#12#27#13##0#4*&R#2#4#0#10#10#35#11##0#4*&A#1#2#0#12#11#37#12##0#4*&L#2#1#0#14#10#39#11##0#4*&R#2#2#0#20#10#45#11##0#4*%£,
23634,,"remember,recall-(to)","(memory + action indicator) Preferred NEW SYNONYM, replacing 16485",RED,"komma ihåg, minnas","(memory + action indicator)  Preferred NEW SYNONYM, replacing 16485","huske, gjenkalle",,muistaa,"emlékezni, felidézni","erinnern, sich erinnern","herinneren, zich herinneren","herinner, herroep (om te)","запомнить, запоминать",muna (SO),,"atcerēties, atsaukt atmiņā","pamiętać, przypominać sobie","souvenir-(se), rappeler-(se)",recordar,"recordar, lembrar",ricordare,"husker, huske",J#1#1#0#0#8#33#9##0#4*&O#1#3#0#0#12#33#13##0#4*&V#5#1#0#3#4#36#5##0#4*&Q#1#1#0#4#12#37#13##0#4*%£,
23635,,research,(activity + science),YELLOW,forskning,(activity + science),forskning,,tutkimus,kutatás,Forschung,"onderzoek, research",navorsing,исследование,rannsaka,,"pētījums, izpēte","badanie, odkrywanie czegoś",recherche,investigación,,,,V#2#1#0#0#12#27#13##0#4*&J#1#1#0#6#8#25#9##0#4*&P#1#2#0#10#8#29#9##0#4*&H#2#1#0#16#10#33#11##0#4*&W#2#1#0#16#16#33#17##0#4*&W#2#2#0#18#10#35#11##0#4*%£,
23636,,"rice_pudding,rice_porridge",(pudding + rice),YELLOW,"risgrynsgröt, risgrynspudding",(pudding + rice),"rispudding, risgrøt",,"riisipuuro, riisivanukas","rizspuding, rizskása","Reisbrei, Reispudding","rijstpap, rijstebrij","rys poeding, rys pap","рисовая каша, рисовый пудинг","hrísgrjónagrautur, grjónagrautur",,"rīsu pudiņš, rīsu putra","pudding ryżowy, budyń ryżowy",riz au lait,arroz con leche,,porridge di riso,,W#6#1#0#0#12#17#13##0#4*&J#1#1#0#4#12#33#13##0#4*&W#4#1#0#4#16#21#17##0#4*&W#6#2#0#12#12#29#13##0#4*&A#1#2#0#16#15#45#16##0#4*&K#2#1#0#18#12#47#13##0#4*&K#2#1#0#22#12#51#13##0#4*%£,
23637,,rob-(to),(to steal + intensity + action indicator),RED,råna,(to steal + intensity + action indicator),rane,,"varastaa, rosvota, ryöstää","rabolni, elrabolni, kirabolni, megrabolni",rauben,beroven,beroof (om te),грабить,"ræna, stela (SO)",,laupīt,"kraść, okradać, rabować","voler, prendre",robar,assaltar (roubar),rubare,,V#9#3#0#0#8#23#9##0#4*&V#5#1#0#1#4#24#5##0#4*&J#1#3#0#6#12#37#13##0#4*&F#1#3#0#8#8#39#9##0#4*&W#2#1#0#16#12#47#13##0#4*&Y#22#1#0#22#10#53#11##0#4*&Y#22#1#0#24#10#55#11##0#4*%£,
23638,,robber,(person + to rob [contraction]),BLUE,rånare,(person + to rob [contraction]),raner,,"varas, rosvo",rabló (fn.),"Räuber, Räuberin",rover,rower,грабитель,ræningi,,laupītājs,"rabuś, złodziej",voleur,ladrón,,,,S#1#1#0#0#8#29#9##0#4*&J#1#3#0#6#12#37#13##0#4*&F#1#3#0#8#8#39#9##0#4*&W#2#1#0#16#12#47#13##0#4*&Y#22#1#0#22#10#53#11##0#4*&Y#22#1#0#24#10#55#11##0#4*%£,
23639,,robot_doll,(machine + person + man-made),YELLOW,robotdocka,(machine + person + man-made),robotdokke,,robottinukke,"robotember, robotbaba",Roboter,robotpop,robot pop,"робот,игрушка",vélmenni,,robotlelle,"lalka robot, robot zabawka","poupée mécanique, robot",muñeca robot,automato,,robot,H#3#1#0#0#8#19#9##0#4*&G#1#1#0#2#12#21#13##0#4*&S#1#1#0#10#8#29#9##0#4*&P#1#1#0#16#12#33#13##0#4*%£,
23640,,roll-(to),(rotation + ground + action indicator),RED,rulla,(rotation + ground + action indicator),rulle,,"kierittää, kieriä","forogni, csavarni, forogni, göngyölíteni","rollen, kugeln","omdraaien, rollen",rol (om te),"заматывать, скручивать",rúlla (SO),,rullēt,"toczyć się, kręcić się po podłożu","rouler, faire rouler",rodar,rolar,avanzare rotolando,(at) rulle (fremføre ved rotation),R#2#1#0#0#12#25#13##0#4*&K#2#4#0#2#12#27#13##0#4*&V#5#1#0#5#4#30#5##0#4*&J#1#2#0#6#8#31#9##0#4*&W#4#1#0#12#16#43#17##0#4*%£,
23641,,"dilapidated,ruined_(building)_(2)",(building + destroyed) SYMBOL SYNONYM,YELLOW,ruin (2),(building + destroyed)  SYMBOL SYNONYM,"ruin, rønne (2)",,rauniot (2),"rom, romház (2)",Ruine (2),ruïne (2),"wrak, ruïne (gebou) (2)","руины, развалины (2)",eyðileggja (SO),,"iznīcināt, sagraut, nojaukt (celtni) (2)","ruina, rudera (2)",ruine (2),ruina (2),ruínas (2),"rovine, ruderi (2)","ruiner, ruin (2)",D#1#1#0#0#8#25#9##0#4*&W#8#2#0#10#8#35#9##0#4*%£,
23642,,Russia,(country + bear's_head: the country of the bear),YELLOW,Ryssland,(country + bear's_head: the country of the bear),Russland,,Venäjä,Oroszország,"Russland, Russische Föderation",Rusland,Rusland,Россия,Rússland,,Krievija,Rosja,Russie,Rusia,Federação Russa,Federazione Russa,,W#4#1#0#0#16#27#17##0#4*&L#2#1#0#4#8#31#9##0#4*&W#4#2#0#4#8#31#9##0#4*&H#1#1#0#10#8#37#9##0#4*&H#3#1#0#11#8#38#9##0#4*&Q#1#1#0#13#12#40#13##0#4*&Q#1#1#0#15#14#42#15##0#4*&Q#1#1#0#17#12#44#13##0#4*&H#1#1#0#18#8#45#9##0#4*%£,
23643,,"samosa,pirogue",(bread + filled),YELLOW,pirog,(bread + filled),pirog,,"samosa, pasteija","szamósza (India), pirog (orosz); töltött kenyér",Samosa (gefüllte Teigtasche),samosa,samoesa,пирог,samósa,,"piroga, laivas paveids",pieróg indyjski,"samosa, pain fourré",piragua,,samosa,,K#4#4#0#0#12#32#13##0#4*&W#4#1#0#1#12#29#13##0#4*&W#4#1#0#1#16#29#17##0#4*&K#4#2#0#9#12#41#13##0#4*&J#1#3#0#12#12#43#13##0#4*&W#4#1#0#12#12#43#13##0#4*%£,
23644,,sand_play,(play [contraction] + sand),YELLOW,sandlek,(play [contraction] + sand),sandlek,,hiekkaleikki,homokozás,"spielen (im Sand), spielen (mit Sand)",spel in het zand,sand spel,игра с песком,leika í sandi,,spēlēties smiltīs,zabawy w piasku,jeu dans le sable,juego con arena,,,,V#2#1#0#0#12#27#13##0#4*&B#1#1#0#4#8#23#9##0#4*&Q#1#1#0#12#16#25#17##0#4*&Q#1#1#0#16#12#29#13##0#4*&Q#1#1#0#16#16#29#17##0#4*&P#3#3#0#18#12#31#13##0#4*%£,
23645,,sand_toy,(toy [contraction] + sand),YELLOW,sandleksak,(toy [contraction] + sand),sandleke,,hiekkalelu,homokozó játék,"Sandspielzeug, Buddelsachen","zandspeelgoed, strandspeelgoed",sand speelding,игрушка для песка,sanddót,,"pludmales, smilšu rotaļlietas","foremki do piasku, zabawki do piaskownicy",jouet de sable,juguete para arena,brinquedos de praia,giochi per la sabbia,strandlegetøj,L#2#1#0#0#10#17#11##0#4*&B#1#1#0#6#8#23#9##0#4*&Q#1#1#0#14#16#25#17##0#4*&Q#1#1#0#18#12#29#13##0#4*&Q#1#1#0#18#16#29#17##0#4*&P#3#3#0#20#12#31#13##0#4*%£,
23646,,Sandman,(make-believe man + to sleep: make-believe man who puts one to sleep),BLUE,John Blund,(make-believe man + to sleep: make-believe man who puts one to sleep),fantasifigur Ole Lukkøye,,Nukkumatti,"Álommanó, Sandman",Sandmännchen,zandmannetje,sandman,Дрёма,sandmaður,,Miega vīriņš,Sandman (bóg snu),marchand de sable,Sandman,,,,W#4#1#0#0#8#25#9##0#4*&H#2#1#0#2#4#27#5##0#4*&V#2#1#0#2#12#27#13##0#4*&W#2#2#0#4#4#29#5##0#4*&W#2#2#0#4#8#29#9##0#4*&L#1#1#0#10#8#35#9##0#4*&H#2#1#0#12#10#37#11##0#4*&Q#1#1#0#14#12#39#13##0#4*%£,
23647,,"Santa_Claus,Father_Christmas",(man + beard + evergreen tree),BLUE,"jultomte, jultomten",(man + beard + evergreen tree),julenisse,,Joulupukki,"Mikulás, Télapó",an den Weihnachtsmann/Sankt Nikolaus glauben,kerstman,Kersvader,"Санта клаус, Дед Мороз",jólasveinn,,"Santa Klauss, Ziemassvētku vecītis","Święty Mikołaj, Gwiazdor",père Noël,"Santa Claus, Papá Noel",pai natal,Babbo Natale,Julemanden,V#2#1#0#0#12#15#13##0#4*&W#2#2#0#2#8#17#9##0#4*&H#3#1#0#6#8#35#9##0#4*&K#5#4#0#7#16#37#17##0#4*&Q#1#1#0#8#10#37#11##0#4*&W#2#1#0#8#14#37#15##0#4*&K#5#4#0#9#16#39#17##0#4*&W#2#2#0#10#10#39#11##0#4*&K#5#4#0#11#16#41#17##0#4*&Q#1#1#0#12#10#41#11##0#4*&R#2#4#0#13#16#42#17##0#4*&K#2#3#0#17#8#46#9##0#4*&K#2#3#0#17#10#46#11##0#4*&K#2#4#0#21#8#50#9##0#4*&K#2#4#0#21#10#50#11##0#4*&W#4#2#0#21#8#50#9##0#4*%£,
